rank,place,population,lat,lon
1,San Jose,945942,37.3385811,-121.8855667
2,San Francisco,805235,37.7771187,-122.4196396
3,Oakland,390724,37.8050804,-122.2730713
4,Fremont,214089,37.5509109,-121.9821701
5,Santa Rosa,167815,38.4379005,-122.7124405
6,Hayward,144186,37.6713409,-122.0855179
7,Sunnyvale,140081,37.3717117,-122.038002
8,Concord,122067,42.46101,-71.3490524
9,Santa Clara,116468,37.3557396,-121.9549866
10,Vallejo,115942,38.1008301,-122.2549515
