zip,value2013,value2008,value2003,value1998,county
94306,1598991.667,1237341.667,818150,542733.3333,Santa Clara
95148,606666.6667,636633.3333,511483.3333,293783.3333,Santa Clara
95118,689108.3333,632475,477833.3333,297516.6667,Santa Clara
94002,1062041.667,923033.3333,678533.3333,445941.6667,San Mateo
94530,572508.3333,572058.3333,502300,251333.3333,Contra Costa
94549,1102750,1026450,803116.6667,460141.6667,Contra Costa
94598,749375,687575,603408.3333,335466.6667,Contra Costa
95472,607158.3333,594200,524233.3333,273800,Sonoma
94597,577600,562883.3333,496433.3333,257250,Contra Costa
94559,401433.3333,428283.3333,372433.3333,164850,Napa
94132,713750,738758.3333,528500,288616.6667,San Francisco
94607,325075,378525,312516.6667,144650,Alameda
94555,637008.3333,575958.3333,459158.3333,262925,Alameda
95032,1225466.667,1065575,776225,516016.6667,Santa Clara
95117,739491.6667,677483.3333,515816.6667,337600,Santa Clara
95492,402583.3333,431325,410358.3333,209783.3333,Sonoma
94596,753150,723858.3333,606975,319533.3333,Contra Costa
94402,1247925,982333.3333,706533.3333,476150,San Mateo
94062,1430741.667,1280591.667,943300,604750,San Mateo
94609,589375,511958.3333,432891.6667,183033.3333,Alameda
94545,371950,414400,386633.3333,191566.6667,Alameda
94518,436683.3333,444033.3333,418508.3333,214133.3333,Contra Costa
94585,206991.6667,292858.3333,285333.3333,132058.3333,Solano
94595,442458.3333,389158.3333,364050,239591.6667,Contra Costa
94603,186516.6667,308225,267433.3333,114341.6667,Alameda
94619,432883.3333,483850,398308.3333,178891.6667,Alameda
94124,494275,535700,410041.6667,188950,San Francisco
95405,409241.6667,422691.6667,389175,204816.6667,Sonoma
94063,572316.6667,572608.3333,466025,250191.6667,San Mateo
95121,493258.3333,537066.6667,444583.3333,255641.6667,Santa Clara
94589,168466.6667,287116.6667,283558.3333,122500,Solano
95134,559183.3333,519091.6667,433283.3333,296150,Santa Clara
94947,534208.3333,562158.3333,504475,278500,Marin
94801,160575,280775,255791.6667,104258.3333,Contra Costa
94803,339275,394641.6667,392175,182991.6667,Contra Costa
94580,364250,391400,366741.6667,183175,Alameda
94030,1071991.667,921283.3333,676541.6667,429250,San Mateo
94612,365716.6667,362383.3333,299825,157591.6667,Alameda
95131,612275,556141.6667,458700,284233.3333,Santa Clara
94704,726108.3333,640225,516400,260975,Alameda
94621,174500,307616.6667,250258.3333,101075,Alameda
94703,659358.3333,581008.3333,467591.6667,236150,Alameda
94547,363750,464291.6667,416416.6667,209658.3333,Contra Costa
95054,700741.6667,667566.6667,504550,300608.3333,Santa Clara
94706,683533.3333,580375,493083.3333,249408.3333,Alameda
94024,1994650,1638650,1196433.333,783000,Santa Clara
94085,587400,542683.3333,439641.6667,269608.3333,Santa Clara
95448,538716.6667,495816.6667,451625,222050,Sonoma
94506,1039650,991850,863425,522850,Contra Costa
94089,600783.3333,564325,454625,270916.6667,Santa Clara
94702,604500,524150,415075,206091.6667,Alameda
